placeName,component,candidate,rule,pleiadesId,pleiadesName,matchType
Abina,Abina,Abina,original,915818,Abina,CONFIRMED
Abusina,Abusina,Abusina,original,118539,Abusina,CONFIRMED
Acadama,Acadama,Acadama,original,668177,Acadama,CONFIRMED
Adatha,Adatha,Adatha,original,658366,Adatha,CONFIRMED
Aeliae,Aeliae,Aeliae,original,324657,Aeliae,CONFIRMED
Aesica,Aesica,Aesica,original,89095,Aesica,CONFIRMED
Afro,Afro,Afro,original,699887,Afro,CONFIRMED
Ailae,Ailae,Aila,ending,746700,Aila,CONFIRMED
Ala Nova,Ala Nova,Ala Nova,original,128354,Ala Nova,CONFIRMED
Albano,Albano,Albanum,ending,197099,Albanum,CONFIRMED
Aleto,Aleto,Aletum,ending,69556,Aletum,CONFIRMED
Alione,Alione,Alione,original,89097,Alione,CONFIRMED
Aliscae,Aliscae,Alisca,ending,197103,Alisca,CONFIRMED
Amidae,Amidae,Amida,ending,874298,Amida,CONFIRMED
Ammattha,Ammattha,Ammattha,original,668183,Ammattha,CONFIRMED
Analiba,Analiba,Analiba,original,628922,Analiba,CONFIRMED
Anatha,Anatha,Anatha,original,668196,Anatha,CONFIRMED
Anderidos,Anderidos,Anderidos,original,79293,Anderidos,CONFIRMED
Apatna,Apatna,Apatna,original,894133,Apatna,CONFIRMED
Apollonos superioris,Apollonos superioris,Apollonos,first_word,785976,Apollonos,CONFIRMED
Appiaria,Appiaria,Appiaria,original,216707,Appiaria,CONFIRMED
Apuliae,Apuliae,Apulia,ending,442469,Apulia,CONFIRMED
Arbeia,Arbeia,Arbeia,original,89104,Arbeia,CONFIRMED
Arieldela,Arieldela,Arieldela,original,746715,Arieldela,CONFIRMED
Arlape,Arlape,Arlape,original,118571,Arlape,CONFIRMED
Arrabonae,Arrabonae,Arrabona,ending,197141,Arrabona,CONFIRMED
Arubio,Arubio,Arubium,ending,216712,Arubium,CONFIRMED
Asabaia,Asabaia,Asabaia,original,699890,Asabaia,CONFIRMED
Asfynis,Asfynis,Asfynis,original,785978,Asfynis,CONFIRMED
Asuada,Asuada,Asuada,original,699891,Asuada,CONFIRMED
Auatha,Auatha,Auatha,original,699892,Auatha,CONFIRMED
Axeloduno,Axeloduno,Axeloduno,original,89307,Axeloduno,CONFIRMED
Baiocas et Constantiae Lugdunensis secundae,Baiocas,Baiocas,original,69471,Baiocas,CONFIRMED
Bethallaha,Bethallaha,Bethallaha,original,876591,Bethallaha,CONFIRMED
Betproclis,Betproclis,Betproclis,original,668212,Betproclis,CONFIRMED
Bingio,Bingio,Bingium,ending,108809,Bingium,CONFIRMED
Birsama,Birsama,Birsama,original,687864,Birsama,CONFIRMED
Bodobrica,Bodobrica,Bodobrica,original,108817,Bodobrica,CONFIRMED
Bostra,Bostra,Bostra,original,678073,Bostra,CONFIRMED
Branoduno,Branoduno,Branodunum,ending,79346,Branodunum,CONFIRMED
Caini,Caini,Caini,original,876602,Caini,CONFIRMED
Callinico,Callinico,Callinicum,ending,668318,Callinicum,CONFIRMED
Campona,Campona,Campona,original,197187,Campona,CONFIRMED
Candidiana,Candidiana,Candidiana,original,216896,Candidiana,CONFIRMED
Cannabiaca,Cannabiaca,Cannabiaca,original,128375,Cannabiaca,CONFIRMED
Cardabiaca,Cardabiaca,Cardabiaca,original,197283,Cardabiaca,CONFIRMED
Carnunto,Carnunto,Carnuntum,ending,128376,Carnuntum,CONFIRMED
Cartha,Cartha,Cartha,original,699911,Cartha,CONFIRMED
Casama,Casama,Casama,original,678085,Casama,CONFIRMED
Chaszanenica,Chaszanenica,Chaszanenica,original,857137,Chaszanenica,CONFIRMED
Chiaca,Chiaca,Chiaca,original,629008,Chiaca,CONFIRMED
Cii,Cii,Cius,ending,216770,Cius,CONFIRMED
Cilurno,Cilurno,Cilurnum,ending,89144,Cilurnum,CONFIRMED
Cimbrianis,Cimbrianis,Cimbrianis,original,203114,Cimbrianis,CONFIRMED
Circesio,Circesio,Circesium,ending,893974,Circesium,CONFIRMED
Cirpi,Cirpi,Cirpi,original,197208,Cirpi,CONFIRMED
Como,Como,Como,original,383627,Comum,CONFIRMED
Concangios,Concangios,Concangios,original,89146,Concangios,CONFIRMED
Conderco,Conderco,Condercum,ending,89150,Condercum,CONFIRMED
Copto,Copto,Coptos,word_rule,786010,Coptos,CONFIRMED
Cornaco,Cornaco,Cornacum,ending,197227,Cornacum,CONFIRMED
Cremonae,Cremonae,Cremona,ending,383628,Cremona,CONFIRMED
Crumero,Crumero,Crumerum,ending,197232,Crumerum,CONFIRMED
Cunna,Cunna,Cunna,original,668233,Cunna,CONFIRMED
Cusas,Cusas,Cusas,original,756588,Cusas,CONFIRMED
Cusi,Cusi,Cusus,ending,207062,Cusus,CONFIRMED
Dabana,Dabana,Dabana,original,658448,Dabana,CONFIRMED
Damasci,Damasci,Damascus,word_rule,678106,Damascus,CONFIRMED
Dano,Dano,Danum,ending,79412,Danum,CONFIRMED
Dascusa,Dascusa,Dascusa,original,628963,Dascusa,CONFIRMED
Dimo,Dimo,Dimum,ending,216790,Dimum,CONFIRMED
Domana,Domana,Domana,original,857111,Domana,CONFIRMED
Dortico,Dortico,Dorticum,ending,207093,Dorticum,CONFIRMED
Drasdea,Drasdea,Drasdea,original,222050,Drasdea,CONFIRMED
Drobeta,Drobeta,Drobeta,original,207100,Drobeta,CONFIRMED
Duodecimo constituta,Duodecimo constituta,Duodecimum,ending,876623,Duodecimum,CONFIRMED
Durostoro,Durostoro,Durostorum,ending,216800,Durostorum,CONFIRMED
Flaviana,Flaviana,Flaviana,original,216811,Flaviana,CONFIRMED
Friglas,Friglas,Friglas,original,275629,Friglas,CONFIRMED
Gadda,Gadda,Gadda,original,697666,Gadda,CONFIRMED
Glannibanta,Glannibanta,Glannibanta,original,89193,Glannibanta,CONFIRMED
Graio,Graio,Graium,ending,203127,Graium,CONFIRMED
Grannona in litore Saxonico,Grannona in litore Saxonico,Grannona,before_in,138377,Grannona,CONFIRMED
Gratiana,Gratiana,Gratiana,original,226611,Gratiana,CONFIRMED
Guntiae,Guntiae,Guntia,ending,118716,Guntia,CONFIRMED
Helela,Helela,Helela,original,668259,Helela,CONFIRMED
Hunno,Hunno,Hunno,original,89201,Hunno,CONFIRMED
Ioviaco,Ioviaco,Ioviacum,ending,118761,Ioviacum,CONFIRMED
Isiu,Isiu,Isiu,original,756583,Isiu,CONFIRMED
Lapurdo,Lapurdo,Lapurdum,ending,246461,Lapurdum,CONFIRMED
Lato,Lato,Lato,original,589899,Lato,CONFIRMED
Lauriaco,Lauriaco,Lauriacum,word_rule,118802,Lauriacum,CONFIRMED
Lentiae,Lentiae,Lentia,ending,118803,Lentia,CONFIRMED
Libona,Libona,Libona,original,699901,Libona,CONFIRMED
Lussonio,Lussonio,Lussonium,ending,197362,Lussonium,CONFIRMED
Magis,Magis,Magis,original,89237,Magis,CONFIRMED
Maglone,Maglone,Maglone,original,89236,Maglone,CONFIRMED
Marcianopoli,Marcianopoli,Marcianopolis,word_rule,216878,Marcianopolis,CONFIRMED
Marcis in litore Saxonico,Marcis in litore Saxonico,Marcis,before_in,109140,Marcis,CONFIRMED
Margo,Margo,Margum,ending,207267,Margum,CONFIRMED
Massiliae Graecorum,Massiliae Graecorum,Massilia,ending,148127,Massilia,CONFIRMED
Mefana - Cartha,Mefana - Cartha,Cartha,alias,699911,Cartha,CONFIRMED
Melitena,Melitena,Melitena,original,629040,Melitena,CONFIRMED
Menochiae,Menochiae,Menochia,ending,687964,Menochia,CONFIRMED
Metita,Metita,Metita,original,874603,Metita,CONFIRMED
Miseno,Miseno,Misenum,ending,432941,Misenum,CONFIRMED
Moahile,Moahile,Moahile,original,748965,Moahile,CONFIRMED
Mochora,Mochora,Mochora,original,863842,Mochora,CONFIRMED
Mogontiaco,Mogontiaco,Mogontiacum,word_rule,109169,Mogontiacum,CONFIRMED
Morbio,Morbio,Morbium,ending,92170,Morbium,CONFIRMED
Motha,Motha,Motha,original,678289,Motha,CONFIRMED
Mursae,Mursae,Mursa,ending,197389,Mursa,CONFIRMED
Nazala,Nazala,Nazala,original,668315,Nazala,CONFIRMED
Nee,Nee,Nee,original,554290,Nee,CONFIRMED
Nicomediae,Nicomediae,Nicomedia,word_rule,511337,Nicomedia,CONFIRMED
Novariae,Novariae,Novaria,ending,383717,Novaria,CONFIRMED
Olenaco,Olenaco,Olenacum,ending,89260,Olenacum,CONFIRMED
Oneuatha,Oneuatha,Oneuatha,original,678315,Oneuatha,CONFIRMED
Oraba,Oraba,Oraba,original,874688,Oraba,CONFIRMED
Oresa,Oresa,Oresa,original,668323,Oresa,CONFIRMED
Osismis,Osismis,Osismis,original,69511,Osismis,CONFIRMED
Othonae,Othonae,Othona,ending,79631,Othona,CONFIRMED
Pacatiana,Pacatiana,Pacatiana,original,278631,Pacatiana,CONFIRMED
Palmira,Palmira,Palmyra,word_rule,668331,Palmyra,CONFIRMED
Parroduno,Parroduno,Parrodunum,ending,118903,Parrodunum,CONFIRMED
Pelusio,Pelusio,Pelusium,word_rule,727192,Pelusium,CONFIRMED
Pithiae,Pithiae,Pithiae,original,857283,Pithiae,CONFIRMED
Psinaula,Psinaula,Psinaula,original,756628,Psinaula,CONFIRMED
Rasin,Rasin,Rasin,original,876684,Rasin,CONFIRMED
Ratiaria,Ratiaria,Ratiaria,original,207376,Ratiaria,CONFIRMED
Ravennae,Ravennae,Ravenna,word_rule,393480,Ravenna,CONFIRMED
Regulbio,Regulbio,Regulbium,ending,79654,Regulbium,CONFIRMED
Rene,Rene,Rene,original,876686,Rene,CONFIRMED
Ripa Alta,Ripa Alta,Ripa,first_word,270365,Ripa,CONFIRMED
Ripaltha,Ripaltha,Ripaltha,original,876689,Ripaltha,CONFIRMED
Robatha,Robatha,Robatha,original,699908,Robatha,CONFIRMED
Sabure siue Veterocariae,Sabure siue Veterocariae,Sabure,alias,697750,Veterocaria,CONFIRMED
Saltatha,Saltatha,Saltatha,original,674263,Saltatha,CONFIRMED
Sardis Lydiae,Sardis,Sardis,original,550867,Sardis,CONFIRMED
Securisca,Securisca,Securisca,original,216978,Securisca,CONFIRMED
Segeduno,Segeduno,Segedunum,ending,89288,Segedunum,CONFIRMED
Silili,Silili,Silili,original,756641,Silili,CONFIRMED
Singiduno,Singiduno,Singidunum,word_rule,207443,Singidunum,CONFIRMED
Sisciae,Sisciae,Siscia,ending,197504,Siscia,CONFIRMED
Sisila,Sisila,Sisila,original,876704,Sisila,CONFIRMED
Speluncis,Speluncis,Speluncis,original,857332,Speluncis,CONFIRMED
Suissa,Suissa,Suissa,original,860859,Suissa,CONFIRMED
Sura,Sura,Sura,original,109359,Sura,CONFIRMED
