sourceLine,provinceName
1756,Aegypti
60,Aemiliae
97,Alpium Cottiarum
113,Alpum maritimarum
1720,Arabiae
1757,Arcadiae
1722,Armeniae
1781,Armeniae primae
1782,Armeniae secundae
1799,Augustamnicae
53,Britanniae
125,Britanniae primae
126,Britanniae secundae
1777,Cappadociae primae
1778,Cappadociae secundae
109,Carthagiensis
1766,Ciliciae secundae
92,Dalmaticarum
1762,Eufratensis
1716,Eufratensis et Syriae
127,Flaviae Caesariensis
1761,Foenicis Libani
1770,Frygiae Pacatianae
1771,Frygiae salutaris
1783,Galatiae salutaris
1738,Hellesponti
1776,Honoriados
111,Insularum Balearum
1712,Libyarum
61,Liguriae
44,Limites Tripolitani
43,Limitis Mauretaniae Caesariensis
123,Lugdunensis Senonicae
122,Lugdunensis tertiae
1769,Lycaoniae
1772,Lyciae
1797,Macedoniae salutaris
105,Mauretaniae Sitifensis
82,Maximae Caesariensis
1728,Moesiae primae
1724,Moesiae secundae
54,Mogontiacensis
94,Norici mediterranei
95,Norici ripensis
69,Numidiae
1718,Osrhoenae
1759,Palaestinae salutaris
1760,Palaestinae secundae
1737,Pamfyliae
57,Pannoniae
93,Pannoniae primae
45,Pannoniae primae et Norici ripensis
46,Pannoniae secundae
64,Piceni suburbicarii
98,Raetiae primae
48,Raetiae primae et secundae
99,Raetiae secundae
100,Samnii
49,Sequanicae
1733,Syriae
1763,Syriae salutaris
108,Tarraconensis
110,Tingitaniae
50,Tractus Armoricani et Neruicani
106,Tripolitanae
83,Valentiae
47,Valeriae ripensis
