candidateId,placeName,candidate,candidateNo,candidateType,chapter,document,nodeType,office,unit,canonicalName,province,region,latitude,longitude,confidence,notes
PLCAND00001,Aballaba,Aballaba,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,numeri Maurorum Aurelianorum,,,,,,,
PLCAND00002,Abina,Abina,1,Place,Dux Foenicis,Oriens,equites,,Equites sagittarii indigenae,,,,,,,
PLCAND00006,Abydum - Abocedo,Abocedo,2,Place,Dux Thebaidos,Oriens,ala,,Ala octava ....,,,,,,,
PLCAND00003,Abrincatis,Abrincatis,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum Dalmatarum,,,,,,,
PLCAND00004,Abusina,Abusina,1,Place,Dux Raetiae,Occidentis,unknown,Tribunus,cohortis tertiae Brittorum,,,,,,,
PLCAND00005,Abydum - Abocedo,Abydum,1,Place,Dux Thebaidos,Oriens,ala,,Ala octava ....,,,,,,,
PLCAND00007,Acadama,Acadama,1,Place,Dux Syriae,Oriens,equites,,Equites sagittarii,,,,,,,
PLCAND00008,Acauatha,Acauatha,1,Place,Dux Syriae,Oriens,equites,,Equites sagittarii,,,,,,,
PLCAND00009,Accisso,Accisso,1,Place,Dux Scythiae,Oriens,unknown,Praefectus,ripae legionis primae Ioviae cohortis quintae pedaturae inferioris,,,,,,,
PLCAND00010,Aciminci,Aciminci,1,Place,Dux Pannoniae,Occidentis,cuneus,,Cuneus equitum constantium,,,,,,,
PLCAND00011,Acimirci,Acimirci,1,Place,Dux Pannoniae,Occidentis,equites,,Equites sagittarii,,,,,,,
PLCAND00012,Acinco,Acinco,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Praefectus,legionis secundae adiutricis partis superioris,,,,,,,
PLCAND00013,Adada,Adada,1,Place,Dux Syriae,Oriens,equites,,Equites promoti indigenae,,,,,,,
PLCAND00014,Adatha,Adatha,1,Place,Dux Foenicis,Oriens,equites,,Equites sagittarii indigenae,,,,,,,
PLCAND00015,Adiuuense,Adiuuense,1,Place,Dux Pannoniae primae,Occidentis,unknown,Praefectus,legionis primae Noricorum militum liburnariorum cohortis Quintae partis superioris,,,,,,,
PLCAND00016,Admatha,Admatha,1,Place,Dux Palaestinae,Oriens,ala,,Ala Antana dromedariorum,,,,,,,
PLCAND00017,Adnamantia,Adnamantia,1,Place,Dux provinciae Valeriae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00018,Adtitha,Adtitha,1,Place,Dux Arabiae,Oriens,cohort,,Cohors prima miliaria Thracum,,,,,,,
PLCAND00019,Aegeta,Aegeta,1,Place,Dux Daciae ripensis,Oriens,unknown,Praefectus,legionis tertiaedecimae geminae,,,,,,,
PLCAND00020,Aegetae,Aegetae,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum scutariorum,,,,,,,
PLCAND00021,Aegetae,Aegetae,1,Place,Dux Daciae ripensis,Oriens,unknown,Praefectus,classis Histricae,,,,,,,
PLCAND00022,Aegissos,Aegissos,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum armigerorum,,,,,,,
PLCAND00023,Aeliae,Aeliae,1,Place,Dux Palaestinae,Oriens,equites,,Equites Mauri Illyriciani,,,,,,,
PLCAND00024,Aeliana,Aeliana,1,Place,Dux Armeniae,Oriens,ala,,Ala secunda Gallorum,,,,,,,
PLCAND00025,Aequinoctoiae,Aequinoctoiae,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00026,Aesica,Aesica,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis primae Asturum,,,,,,,
PLCAND00027,Affrodito,Affrodito,1,Place,Comes limitis Aegypti,Oriens,cohort,,Cohors quarta Iuthungorum,,,,,,,
PLCAND00029,Afro,Afro,1,Place,Dux Palaestinae,Oriens,cohort,,Cohors duodecima Valeria,,,,,,,
PLCAND00030,Ailae,Ailae,1,Place,Dux Palaestinae,Oriens,unknown,Praefectus,legionis decimae Fretensis,,,,,,,
PLCAND00031,Aiy,Aiy,1,Place,Comes limitis Aegypti,Oriens,cohort,,Cohors secunda Ituraeorum,,,,,,,
PLCAND00032,Ala Nova,Ala Nova,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00033,Aladaleariza,Aladaleariza,1,Place,Dux Armeniae,Oriens,ala,,Ala Rizena,,,,,,,
PLCAND00034,Albano,Albano,1,Place,Dux Pannoniae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00035,Alesacae,Alesacae,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Tribunus,cohortis,,,,,,,
PLCAND00036,Aleto,Aleto,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum Martensium,,,,,,,
PLCAND00037,Alione,Alione,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis tertiae Neruiorum,,,,,,,
PLCAND00038,Aliscae,Aliscae,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Praefectus,legionis secundae adiutricis cohortis quintae partis superioris,,,,,,,
PLCAND00039,Almo,Almo,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum stablesianorum,,,,,,,
PLCAND00040,Alta Ripa,Alta Ripa,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum Martensium,,,,,,,
PLCAND00041,Altino,Altino,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites navclarii Altinenses,,,,,,,
PLCAND00042,Altino,Altino,1,Place,Dux provinciae Valeriae,Occidentis,cuneus,,Cuneus equitum Fortensium,,,,,,,
PLCAND00043,Amboglanna,Amboglanna,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis primae Aeliae Dacorum,,,,,,,
PLCAND00044,Amidae,Amidae,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites ducatores Illyriciani,,,,,,,
PLCAND00045,Amidae,Amidae,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites scutarii Illyriciani,,,,,,,
PLCAND00046,Ammattha,Ammattha,1,Place,Dux Syriae,Oriens,cohort,,Cohors prima victorum,,,,,,,
PLCAND00047,Ammuda,Ammuda,1,Place,Dux Syriae,Oriens,ala,,Ala prima nova Herculia,,,,,,,
PLCAND00048,Analiba,Analiba,1,Place,Dux Armeniae,Oriens,cohort,,Cohors quarta Raetorum,,,,,,,
PLCAND00049,Anatha,Anatha,1,Place,Dux Syriae,Oriens,equites,,Equites sagittarii indigenae,,,,,,,
PLCAND00050,Anderidos,Anderidos,1,Place,Comes litoris Saxonici per Britanniam,Occidentis,unknown,Praepositus,numeri Abulcorum,,,,,,,
